Dte.,Barris,2013,2012,2011
1,1. el Raval,810,783,748
1,2. el Barri Gotic,195,201,186
1,3. la Barceloneta,169,164,169
1,"4. Sant Pere, Santa Caterina i la Ribera",213,207,202
2,5. el Fort Pienc,72,71,59
2,6. la Sagrada Familia,198,192,193
2,7. la Dreta de l'Eixample,158,162,182
2,8. l'Antiga Esquerra de l'Eixample,122,110,109
2,9. la Nova Esquerra de l'Eixample,197,188,161
2,10. Sant Antoni,160,147,167
3,11. el Poble Sec - Parc Montjuic,300,285,305
3,12. la Marina del Prat Vermell - Zona Franca,29,23,20
3,13. la Marina de Port,248,227,194
3,14. la Font de la Guatlla,156,149,141
3,15. Hostafrancs,177,172,144
3,16. la Bordeta,70,69,73
3,17. Sants - Badal,114,106,87
3,18. Sants,204,200,202
4,19. les Corts,115,109,113
4,20. la Maternitat i Sant Ramon,53,50,46
4,21. Pedralbes,22,21,29
5,"22. Vallvidrera, el Tibidabo i les Planes",18,13,12
5,23. Sarria,71,67,48
5,24. les Tres Torres,9,9,9
5,25. Sant Gervasi - la Bonanova,57,56,54
5,26. Sant Gervasi - Galvany,62,65,65
5,27. el Putxet i el Farre,58,58,58
6,28. Vallcarca i els Penitents,48,49,46
6,29. el Coll,29,29,35
6,30. la Salut,128,125,31
6,31. la Vila de Gracia,260,248,232
6,32. el Camp d'en Grassot i Gracia Nova,196,199,208
7,33. el Baix Guinardo,73,68,68
7,34. Can Baro,59,61,57
7,35. el Guinardo,132,127,120
7,36. la Font d'en Fargues,40,37,31
7,37. el Carmel,219,204,207
7,38. la Teixonera,53,52,58
7,39. Sant Genis dels Agudells,36,33,35
7,40. Montbau,35,31,34
7,41. la Vall d'Hebron,24,22,22
7,42. la Clota,8,4,4
7,43. Horta,134,131,121
8,44. Vilapicina i la Torre Llobeta,100,94,86
8,45. Porta,154,140,138
8,46. el Turo de la Peira,78,67,75
8,47. Can Peguera,60,60,65
8,48. la Guineueta,84,84,75
8,49. Canyelles,55,50,51
8,50. les Roquetes,155,149,153
8,51. Verdun,104,104,91
8,52. la Prosperitat,134,121,117
8,53. la Trinitat Nova,103,94,94
8,54. Torre Baro,69,59,50
8,55. Ciutat Meridiana,81,76,71
8,56. Vallbona,25,21,25
9,57. la Trinitat Vella,89,80,85
9,58. Baro de Viver,46,42,46
9,59. el Bon Pastor,119,111,102
9,60. Sant Andreu,190,174,145
9,61. la Sagrera,98,91,87
9,62. el Congres i els Indians,60,63,63
9,63. Navas,72,72,61
10,64. el Camp de l'Arpa del Clot,197,193,197
10,65. el Clot,91,93,85
10,66. el Parc i la Llacuna del Poblenou,122,120,110
10,67. la Vila Olimpica del Poblenou,12,12,9
10,68. el Poblenou,147,138,139
10,69. Diagonal Mar i el Front Maritim del Poblenou,49,47,38
10,70. el Besos i el Maresme,208,189,188
10,71. Provencals del Poblenou,93,88,47
10,72. Sant Marti de Provencals,154,154,120
10,73. la Verneda i la Pau,160,155,154
